dir,image_size,repo_id,transform,distance_metric,file,distance,distance_pos,is_real,complexity
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0000.png,-0.0181732177734375,0.0181732177734375,False,0.1357421875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0001.png,-0.012481689453125,0.012481689453125,False,0.13037109375
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0002.png,-0.01096343994140625,0.01096343994140625,False,0.1866455078125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0003.png,-0.007053375244140625,0.007053375244140625,False,0.053955078125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0004.png,-0.01207733154296875,0.01207733154296875,False,0.18603515625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0005.png,-0.007724761962890625,0.007724761962890625,False,0.057220458984375
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0006.png,-0.01035308837890625,0.01035308837890625,False,0.203857421875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0007.png,-0.017669677734375,0.017669677734375,False,0.243408203125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0008.png,-0.01137542724609375,0.01137542724609375,False,0.12139892578125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0009.png,-0.01241302490234375,0.01241302490234375,False,0.1279296875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0010.png,-0.005405426025390625,0.005405426025390625,False,0.07745361328125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0011.png,-0.01103973388671875,0.01103973388671875,False,0.2420654296875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0012.png,-0.00684356689453125,0.00684356689453125,False,0.1485595703125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0013.png,-0.011993408203125,0.011993408203125,False,0.178955078125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0014.png,-0.006740570068359375,0.006740570068359375,False,0.08453369140625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0015.png,-0.013946533203125,0.013946533203125,False,0.1722412109375
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0016.png,-0.01180267333984375,0.01180267333984375,False,0.131103515625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0017.png,-0.00714111328125,0.00714111328125,False,0.075927734375
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0018.png,-0.00920867919921875,0.00920867919921875,False,0.1309814453125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0019.png,-0.00772857666015625,0.00772857666015625,False,0.135498046875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0020.png,-0.0107421875,0.0107421875,False,0.0552978515625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0021.png,-0.011993408203125,0.011993408203125,False,0.11724853515625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0022.png,-0.0103912353515625,0.0103912353515625,False,0.21142578125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0023.png,-0.00519561767578125,0.00519561767578125,False,0.0887451171875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0024.png,-0.0130615234375,0.0130615234375,False,0.1591796875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0025.png,-0.0095062255859375,0.0095062255859375,False,0.055694580078125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0026.png,-0.0096282958984375,0.0096282958984375,False,0.2080078125
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0027.png,-0.0167694091796875,0.0167694091796875,False,0.042572021484375
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0028.png,-0.016693115234375,0.016693115234375,False,0.08465576171875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0029.png,-0.013031005859375,0.013031005859375,False,0.10943603515625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0030.png,-0.018218994140625,0.018218994140625,False,0.179931640625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0031.png,-0.0121307373046875,0.0121307373046875,False,0.22509765625
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0032.png,-0.00455474853515625,0.00455474853515625,False,0.148681640625
